volunteer_id,T01,T02,T03,T04,T05
V01,1.2273560475323666,2.302082020330464,1.2241301166407923,2.7817291549935828,1.5874386847635733
V02,0.8250372821812061,1.4597457889133134,2.0087128543417383,2.2636635605368047,0.8426183839779652
V03,0.5545376917574452,1.4797547193457932,1.5623795615829088,1.3687113322796707,2.174308650668046
V04,1.952960087277521,3.144022488653341,0.6340252726019693,3.325506133113664,2.5953401845922506
V05,1.5062252444474178,0.30124930437386954,3.2258455439107183,1.297874598796578,1.9335052210547268
V06,1.5400903761713944,2.587864053565107,0.9124693037744195,2.215818059112299,2.998221143473874
V07,0.4889973386097203,0.7546235823996382,2.1784751713239388,1.1838947405296998,1.7269683516331336
V08,1.5091707066600102,1.8249428230063547,2.549475543341421,2.8297595865994034,0.23161958207046654
V09,1.5624123856797087,1.68543151098027,2.4984758690217186,0.6489417433699218,3.075642016571048
V10,1.5015673542386196,2.3701914609677184,1.7589238981243907,3.0635239938364536,1.2153839388486511
